Tidsstempel,What are you hoping to get out of the data mining course?,What topic are you most interested in the data mining course?,Which programme are you studying? ,Why are you taking this course? ,What was your first programming language?,How long time have you been programming?,How are your Python skills?,"Which of the following mathematical formulas do you find understandable?
(meaning that you are familiar with the notation used and can infer what is meant by the formula)",Your mean shoe size (In European Continental system),"Your height (in International inches)
Already, an awkward data storage format. It's good to be fluent in multiple systems!",How would you describe your gender?
29/08/2022 08.38.05,"To learn how to independently, or with groups, implement practical algorithms to make work easier. ",Classification,"MSc Digitial Innovation and Management, ITU",It is the most exciting,Python,6 months,I have tried to write simple scripts in Python,Valgmulighed 1,47,6.2,Male
29/08/2022 08.38.43,Bedre forståelse for områder at arbejde med data,Regression,"MSc Software Design, ITU",This was mandatory for me,Java,1 år,I have heard about it and have an idea about what it can be used for,Valgmulighed 1,39,167,Female
29/08/2022 08.38.53,Be able to apply the techniques in a professional setting,Classification,"MSc Software Design, ITU","It is the most exciting, It'll give me business skills",Java,1 Year,I have tried to write simple scripts in Python,"Valgmulighed 1, Valgmulighed 5",42,68,Male
29/08/2022 08.38.56,Tools to work with real-life data,Regression,"MSc Software Design, ITU","It is the most exciting, This was mandatory for me, It'll give me business skills",Stata/R,5  years,I am quite capable of programming in Python,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 3, Valgmulighed 4, Valgmulighed 5",38,66.5,Female
29/08/2022 08.39.09,To get a thorough understanding of how to create and apply algorithms in practice,Classification,"MSc Digitial Innovation and Management, ITU","It is the most exciting, It'll give me business skills",Python,5-ish years,I have tried to write simple scripts in Python,"Valgmulighed 1, Valgmulighed 2",40,65.74,Female
29/08/2022 08.39.12,"Learn to extract data, clean them and prepare them for models",Visualization,MSc elsewhere,It is the most exciting,Python,6 years,I am quite capable of programming in Python,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 3, Valgmulighed 4, Valgmulighed 5",42,76,Male
29/08/2022 08.39.15,"Learning how to collect and process large amounts of scraped text (or even picture) data with the aim of further, qualitative analysis. ",Data wrangling,MSc elsewhere,"It is the most exciting, It seems highly relevant to my master's thesis, which I am writing this semester.",Python,A year,I am quite capable of programming in Python,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 3",44,70.9,Male
29/08/2022 08.39.23,Hands-on experience with data mining algorithms.,Visualization,MSc elsewhere,It is the most exciting,Java,8 years,I am a Python wizard,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 3, Valgmulighed 4, Valgmulighed 5",43,7125.984252,Male
29/08/2022 08.39.23,Knowledge and experience that will be readily useful in the real world. And more experience using Python,Clustering,"MSc Software Design, ITU","The other courses were even less attractive, It is the most exciting, It'll give me business skills",Python,On and off a few years,I have tried to write simple scripts in Python,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 3, Valgmulighed 5",42,70.8,Male
29/08/2022 08.39.32,know whether the hype around it is worth it,Dimensionality reduction,MSc elsewhere,It is the most exciting,python,2 years,I am quite capable of programming in Python,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 3, Valgmulighed 4, Valgmulighed 5",40,69,Female
29/08/2022 08.39.54,Being able to analyze and handle different kinds of data. Know what can be done with different kinds of data.,Clustering,"MSc Software Design, ITU","This was mandatory for me, It'll give me business skills",Java,1 year,I have heard about it and have an idea about what it can be used for,Valgmulighed 1,41,6,Male
29/08/2022 08.39.57,"I am hoping to get mathematical insight to algorithms, how they work and when to apply different algorithms based on the intended outcome and dataset. Furthermore, I hope to develop programming skills in python that allows me to work with data mining in practice. ",Clustering,"MSc Software Design, ITU",It is the most exciting,Java,2 years ,I have tried to write simple scripts in Python,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 5",37,64,Non binary
29/08/2022 08.40.01,"Improve my problem-solving, quant and coding skills",Structured problem solving of data mining problems,"MSc Digitial Innovation and Management, ITU","It is the most exciting, It'll give me business skills",Python,6 months,I am quite capable of programming in Python,"Valgmulighed 1, Valgmulighed 2",43,72,Male
29/08/2022 08.40.06,"To learn how to process, organize and get intgeresting information out of big data sets.",Classification,"MSc Software Design, ITU","It is the most exciting, This was mandatory for me",Java,1 year,I have tried to write simple scripts in Python,"Valgmulighed 1, Valgmulighed 5",42,68.9,Male
29/08/2022 08.40.07,be able to analyse data sets and see potential patterns ,I haven't learned it yet,"MSc Software Design, ITU","I'm not sure, let's see how it works out, It'll give me business skills",java,1 year,I have heard about it and have an idea about what it can be used for,Valgmulighed 1,39,65.7480315 ,Female
29/08/2022 08.40.33,Gaining the skills to be able to work a data science job,Clustering,"MSc Software Design, ITU","This was mandatory for me, It'll give me business skills",F#,2-3 years,I am quite capable of programming in Python,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 3, Valgmulighed 5",37,63,Female
29/08/2022 08.40.41,Better skills in data analysi,Classification,"MSc Digitial Innovation and Management, ITU",It is the most exciting,Python,"Started 4 years ago, been using regularly for 2",I am quite capable of programming in Python,"Valgmulighed 1, Valgmulighed 2, Valgmulighed 4, Valgmulighed 5",40,69,Female
29/08/2022 08.40.41,Skills to apply in my future career and projects,Classification,"MSc Software Design, ITU","This was mandatory for me, It'll give me business skills",C++,7 years,I am quite capable of programming in Python,"Valgmulighed 1, Valgmulighed 2",42,172,Male
29/08/2022 08.40.41,,don't know,"MSc Software Design, ITU",It is the most exciting,JavaScript,5 years,I have tried to write simple scripts in Python,"Valgmulighed 1, Valgmulighed 5",38,63,Female
